Hybridization REF	CTBP1|1487	AR|367
TCGA-J9-A52D-01A-11R-A29R-07	3138.3724	902.9885
TCGA-CH-5792-01A-11R-1580-07	3133.8911	881.6721
TCGA-HC-7748-01A-11R-2118-07	3129.7785	2584.4079
TCGA-EJ-7321-11A-01R-2263-07	3112.9368	1060.4546
TCGA-YL-A8SR-01B-11R-A37L-07	3098.2316	521.3362
TCGA-V1-A8WN-01A-11R-A37L-07	3093.0392	1013.9215
TCGA-EJ-5509-01A-01R-1580-07	3090.3015	1500.1069
TCGA-G9-6363-01A-21R-1789-07	3087.8726	130.5242
TCGA-V1-A8MG-01A-11R-A36G-07	3086.6622	654.2056
TCGA-M7-A723-01A-12R-A32O-07	3082.6551	34.1386
TCGA-EJ-5502-01A-01R-1580-07	3082.6316	1021.4647
TCGA-KC-A7F5-01A-11R-A33R-07	3079.1385	140.7638
TCGA-HC-8216-01A-11R-A29R-07	3076.6977	293.9789
TCGA-EJ-7317-11A-01R-2118-07	3076.5623	1238.0783
TCGA-HC-7749-01A-11R-2118-07	3068.2224	1596.3699
TCGA-EJ-7792-01A-11R-2118-07	3062.5842	986.261
TCGA-KC-A7F3-01A-21R-A33R-07	3051.0712	275.3429
TCGA-HC-7233-01A-11R-2118-07	3049.8528	1268.3529
TCGA-XK-AAJR-01A-11R-A41O-07	3047.1596	625.6312
TCGA-Y6-A8TL-01A-21R-A37L-07	3045.6677	415.8745
TCGA-EJ-A8FO-11A-11R-A36G-07	3039.9293	162.5059
TCGA-J4-8198-01A-11R-2263-07	3033.4441	997.8455
TCGA-EJ-5525-01A-01R-1580-07	3033.2266	2177.6522
TCGA-HC-7745-11A-01R-2118-07	3025.2686	1288.5742
TCGA-HC-7742-01A-11R-2118-07	3021.3621	760.2251
TCGA-YL-A8HO-01A-11R-A36G-07	3013.121	364.7944
TCGA-J4-A83J-01A-11R-A36G-07	2987.4198	551.9897
TCGA-KK-A8IM-01A-11R-A36G-07	2981.7086	532.4962
TCGA-EJ-A46E-01A-31R-A250-07	2978.8332	241.3204
